site_id,vendor
RYDRL4646,Xerox
RYDRL4683,Xerox
RYDRL4692,Xerox
RYDRL4746,Xerox
RYDRL4248,Xerox
RYDRL4686,Xerox
RYDRL4661,Xerox
RYDRL4663,Xerox
RYDRL4694,Xerox
RYDRL4687,Xerox
RYDRL4649,Xerox

RYDRL4168,Vitronic
RYDRL4208,Vitronic
RYDRL4202,Vitronic
RYDRL4206,Vitronic
RYDRL4164,Vitronic
RYDRL4178,Vitronic
RYDRL4175,Vitronic
RYDRL4174,Vitronic
RYDRL4173,Vitronic
RYDRL4198,Vitronic
RYDRL4199,Vitronic
RYDRL4241,Vitronic
RYDRL4194,Vitronic
RYDRL4192,Vitronic
RYDRL4191,Vitronic
RYDRL4187,Vitronic
RYDRL4201,Vitronic
RYDRL4240,Vitronic
RYDRL4177,Vitronic